,0
0,0.0
1,0.0
2,0.0
3,0.0
4,0.0
5,0.0
6,0.0
7,0.0
8,0.0
9,0.0
10,0.0
11,0.0
12,0.0
13,0.0
14,0.0
15,0.0
16,0.0
17,0.0
18,0.0
19,0.0
20,0.0
21,0.0
22,0.0
23,0.0
24,0.0
25,0.0
26,0.0
27,0.0
28,0.0
29,0.0
30,0.0
31,0.0
32,0.0
33,0.0
34,0.0
35,0.0
36,0.0
37,0.0
38,0.0
39,0.0
40,0.0
41,0.0
42,0.0
43,0.0
44,0.0
45,0.0
46,0.0
47,0.0
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0
53,0.0
54,0.0
55,0.0
56,0.0
57,0.0
58,0.0
59,0.0
60,0.0
61,0.0
62,0.0
63,0.0
64,0.0
65,0.0
66,0.0
67,0.0
68,0.0
69,0.0
70,0.0
71,0.0
72,0.0
73,0.0
74,0.0
75,0.0
76,0.0
77,0.0
78,0.0
79,0.0
80,0.0
81,0.0
82,0.0
83,0.0
84,0.0
85,0.0
86,0.0
87,0.0
88,0.0
89,0.0
90,0.0
91,0.0
92,0.0
93,0.0
94,0.0
95,0.0
96,0.0
97,0.0
98,0.0
99,0.0
100,0.0
101,0.0
102,0.0
103,0.0
104,0.0
105,0.0
106,0.0
107,0.0
108,0.0
109,0.0
110,0.0
111,0.0
112,0.0
113,0.0
114,0.0
115,0.0
116,0.0
117,0.0
118,0.0
119,0.0
120,0.0
121,0.0
122,0.0
123,0.0
124,0.0
125,0.0
126,0.0
127,0.0
128,0.0
129,0.0
130,0.0
131,0.0
132,0.0
133,0.0
134,0.0
135,0.0
136,0.0
137,0.0
138,0.0
139,0.0
140,0.0
141,0.0
142,0.0
143,0.0
144,0.0
145,0.0
146,0.0
147,0.0
148,0.0
149,0.0
150,0.0
151,0.0
152,0.0
153,0.0
154,0.0
155,0.0
156,0.0
157,0.0
158,0.0
159,0.0
160,0.0
161,0.0
162,0.0
163,0.0
164,0.0
165,0.0
166,0.0
167,0.0
168,0.0
169,0.0
170,0.0
171,0.0
172,0.0
173,0.0
174,0.0
175,0.0
176,0.0
177,0.0
178,0.0
179,0.0
180,0.0
181,0.0
182,0.0
183,0.0
184,0.0
185,0.0
186,0.0
187,0.0
188,0.0
189,0.0
190,0.0
191,0.0
192,0.0
193,0.0
194,0.0
195,0.0
196,0.0
197,0.0
198,0.0
199,0.0
200,0.0
201,0.0
202,0.0
203,0.0
204,0.0
205,0.0
206,0.0
207,0.0
208,0.0
209,0.0
210,0.0
211,0.0
212,0.0
213,0.0
214,0.0
215,0.0
216,0.0
217,0.0
218,0.0
219,0.0
220,0.0
221,0.0
222,0.0
223,0.0
224,0.0
225,0.0
226,0.0
227,0.0
228,0.0
229,0.0
230,0.0
231,0.0
232,0.0
233,0.0
234,0.0
235,0.0
236,0.0
237,0.0
238,0.0
239,0.0
240,0.0
241,0.0
242,0.0
243,0.0
244,0.0
245,0.0
246,0.0
247,0.0
248,0.0
249,0.0
250,0.0
251,0.0
252,0.0
253,0.0
254,0.0
255,0.0
256,0.0
257,0.0
258,0.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,-0.05385120405764385
329,-0.16476880999512725
330,0.10519664185826712
331,-0.02099531459811297
332,-0.12097578758523177
333,-0.17505376466769623
334,-0.049281608706209276
335,-0.0010089688776755248
336,-0.17944525079104354
337,-0.1533050231016328
338,-0.08632568793619079
339,-0.009422419644165448
340,-0.10519626178843784
341,0.056587276802418644
342,-0.008312395253086437
343,0.002247223748321865
344,-0.003767347410413664
345,-0.03507589773294546
346,-0.0026266054108795536
347,-0.03150595977731024
348,0.014744292545006683
349,-0.0021072856243922328
350,-0.10841369574149134
351,0.10643891308978642
352,-0.08580023798412136
353,0.04747195616642883
354,0.001720032767221665
355,-0.10022978507771714
356,-0.007595967748928738
357,-0.0817156182012635
358,-0.004778118351990973
359,-0.0040133017491015685
360,0.030190183985365993
361,-0.004130414313297785
362,-0.0032508567961047918
363,-0.12845255810446843
364,0.01043696128008919
365,-0.003972385477124104
366,-0.002576901626189614
367,-0.1093550172785133
368,0.01741589021601329
369,-0.07209814872166816
370,-0.007079785806630232
371,-0.007494518796970549
372,-0.17431875419979673
373,-0.05608046980845202
374,-0.0036027759807818267
375,-0.024758295515182265
376,0.05978392953291009
377,0.10841376047448517
378,0.048689915973037456
379,0.0019481368081729045
380,-0.10810237236095392
381,-0.02321967360668589
382,-0.26710848535430187
383,-0.04876141260996
384,-0.004759243175063066
385,-0.028690352202065658
386,0.0026048845319247907
387,-0.14042695623978146
388,0.08196196942189711
389,0.14440474649875687
390,-0.004395183968608485
391,0.1673486121323157
392,0.002247780336876292
393,0.02748699811082928
394,0.19597253248876817
395,-0.08701088599869236
396,0.37635915979676543
397,-0.04906287599164269
398,0.17105535425677926
399,0.15607922374836322
400,0.17370602936554447
401,-0.031251886997252926
402,-0.11233079497914564
403,-0.10946968219815027
404,-0.10992833029377506
405,0.04104284652735574
406,0.056805956630303765
407,-0.06554494150541158
408,-0.07142393468788329
409,-0.03257036391140681
410,-0.036223822316308676
411,-0.07354937159562129
412,0.05024288568565975
413,-0.018801944454853364
414,-0.11183387241057592
415,-0.08562848035146832
416,-0.028012768975640343
417,-0.0010056456122649157
418,-0.05375547957562446
419,-0.047009538244354936
420,-0.031926128022879335
421,-0.009422380633039441
422,-0.0502425969551459
423,-0.006555430233730265
424,-0.00831489994842277
425,0.0022483950209527073
426,-0.0037677388668121326
427,0.01687244647102796
428,-0.0026281797829489214
429,-0.013457267459082286
430,-0.013880895618183627
431,-0.0015156256465777625
432,-0.10359447940999346
433,0.06346321765709217
434,-0.0461029246212
435,0.05424563675252861
436,0.0014813881808654905
437,-0.03802570772062964
438,-0.028413730718213678
439,-0.014500395667271347
440,-0.004778124172508745
441,-0.004011923508899273
442,0.04012307260132089
443,-0.004130709884610653
444,-0.003248858471290377
445,-0.05789382393387721
446,-0.025211212309369423
447,-0.003965244139236606
448,-0.002586506933817408
449,-0.11379936970407756
450,-0.017054220068093866
451,0.01302894085762964
