,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
0,0.5078125,0.390625,0.4765625,0.5,0.5,0.4296875,0.5390625,0.4921875,0.5390625,0.53125,0.5,0.4375,0.2890625,0.34375,0.375,0.3203125,0.4375,0.359375,0.4296875,0.328125,0.3125,0.28125,0.328125,0.375,0.328125,0.3046875,0.3203125,0.4140625,0.328125,0.3125,0.2734375,0.3515625,0.3828125,0.2272727272727273
1,0.375,0.3671875,0.3515625,0.3671875,0.3046875,0.328125,0.3515625,0.2578125,0.3046875,0.2890625,0.375,0.3125,0.3515625,0.4296875,0.3203125,0.390625,0.3828125,0.3984375,0.3828125,0.359375,0.4140625,0.3671875,0.3984375,0.390625,0.375,0.4296875,0.2734375,0.3515625,0.3125,0.4296875,0.3828125,0.421875,0.34375,0.2272727272727273
2,0.4375,0.3984375,0.40625,0.421875,0.3984375,0.28125,0.3515625,0.3828125,0.421875,0.359375,0.3984375,0.328125,0.375,0.40625,0.3515625,0.40625,0.46875,0.4140625,0.359375,0.390625,0.3984375,0.296875,0.421875,0.328125,0.3515625,0.4921875,0.4375,0.34375,0.3203125,0.296875,0.3515625,0.3359375,0.4921875,0.4545454545454546
3,0.34375,0.296875,0.3203125,0.3515625,0.4140625,0.4375,0.4140625,0.3671875,0.421875,0.390625,0.28125,0.34375,0.375,0.3515625,0.4140625,0.3359375,0.4375,0.3203125,0.265625,0.3046875,0.3984375,0.4453125,0.34375,0.359375,0.375,0.3203125,0.265625,0.2734375,0.375,0.390625,0.40625,0.3671875,0.421875,0.40909090909090906
4,0.328125,0.2578125,0.328125,0.3125,0.3828125,0.34375,0.375,0.28125,0.453125,0.375,0.390625,0.265625,0.421875,0.4140625,0.4140625,0.390625,0.3125,0.3671875,0.3359375,0.3828125,0.390625,0.4140625,0.375,0.328125,0.390625,0.4375,0.4453125,0.359375,0.390625,0.328125,0.4140625,0.4296875,0.34375,0.5909090909090908
5,0.3984375,0.3359375,0.3828125,0.3359375,0.40625,0.4921875,0.3828125,0.3828125,0.359375,0.3359375,0.421875,0.453125,0.4296875,0.515625,0.3671875,0.40625,0.3984375,0.453125,0.390625,0.3671875,0.40625,0.4609375,0.4453125,0.3828125,0.421875,0.3359375,0.3671875,0.40625,0.3515625,0.4609375,0.359375,0.40625,0.40625,0.36363636363636365
6,0.3984375,0.3359375,0.453125,0.3671875,0.3828125,0.3203125,0.4296875,0.3359375,0.3671875,0.4296875,0.3828125,0.3359375,0.453125,0.3984375,0.4296875,0.453125,0.34375,0.296875,0.34375,0.4140625,0.421875,0.40625,0.4453125,0.4453125,0.4609375,0.3984375,0.3515625,0.3984375,0.40625,0.4140625,0.4609375,0.453125,0.484375,0.2727272727272727
