,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
0,0.546875,0.421875,0.28125,0.28125,0.34375,0.296875,0.34375,0.359375,0.34375,0.453125,0.359375,0.421875,0.390625,0.546875,0.46875,0.34375,0.359375,0.359375,0.34375,0.34375,0.34375,0.3125,0.296875,0.34375,0.359375,0.390625,0.296875,0.328125
1,0.375,0.53125,0.484375,0.46875,0.5,0.484375,0.484375,0.484375,0.421875,0.484375,0.453125,0.28125,0.390625,0.46875,0.34375,0.375,0.34375,0.28125,0.171875,0.3125,0.40625,0.40625,0.40625,0.359375,0.46875,0.453125,0.46875,0.390625
2,0.375,0.40625,0.34375,0.359375,0.296875,0.34375,0.359375,0.265625,0.359375,0.3125,0.359375,0.34375,0.484375,0.5,0.375,0.46875,0.375,0.546875,0.453125,0.390625,0.390625,0.34375,0.34375,0.4375,0.296875,0.296875,0.34375,0.296875
3,0.34375,0.375,0.359375,0.390625,0.34375,0.390625,0.421875,0.40625,0.421875,0.390625,0.453125,0.3125,0.296875,0.3125,0.34375,0.328125,0.28125,0.375,0.359375,0.4375,0.421875,0.453125,0.28125,0.40625,0.453125,0.359375,0.4375,0.34375
4,0.34375,0.484375,0.375,0.375,0.46875,0.421875,0.359375,0.3125,0.28125,0.28125,0.359375,0.515625,0.390625,0.359375,0.46875,0.40625,0.375,0.265625,0.34375,0.34375,0.3125,0.4375,0.328125,0.328125,0.375,0.375,0.453125,0.40625
5,0.46875,0.4375,0.515625,0.5625,0.34375,0.296875,0.359375,0.40625,0.46875,0.359375,0.46875,0.5625,0.34375,0.390625,0.46875,0.390625,0.390625,0.375,0.3125,0.359375,0.3125,0.484375,0.34375,0.40625,0.421875,0.3125,0.375,0.296875
