,0
0,[0]
1,"[1.508230851415595, 1.0361427190984254, 1.435383320079129, 1.126525381218602, 0.9750211646239001, 1.1608703455350295, 1.1136394035221604, 0.9016114227654962, 0.8910240843119726, 0.9343118214745623, 1.1399185340399351, 1.3234916752613954]"
2,"[1.0527133629676206, 0.8882141941865377, 0.9231951493740077, 0.76621354912429, 0.7184841070399062, 0.9040802656797798, 0.8490174014321512, 1.395726015893484, 0.8604889663236273, 1.0218082436831097, 1.06027277180927, 0.9004914091437402]"
3,"[0.9815928572741738, 0.780452652885584, 0.9348285252234388, 1.0094842555631094, 0.8324599890733619, 0.7301561967649723, 0.7427887005009459, 0.8694766174057424, 0.7197657889600791, 0.7559952236475693, 0.7738878647029892, 0.8497187485259274]"
4,"[0.7693694235186099, 0.5557725998188928, 0.78500723252074, 0.7659124426229529, 0.39543363057077663, 1.0484998943674477, 1.0156252955901297, 1.121515812640776, 0.6708930669312754, 0.8185749407979312, 0.8053617469077814, 0.7758105574924881]"
5,"[0.9184286248468079, 0.8252311522281529, 0.6382924749049589, 0.7186244268313975, 0.6863291106459433, 0.5969413192950936, 0.46139032750658215, 0.6418135242215793, 1.0917273147442463, 0.5264537970000714, 1.0049269160653305, 0.0]"
6,"[0.5145667103923407, 0.5249006563999561, 1.0526271271130567, 0.9301421283678324, 1.2298514559390585, 1.195228815291119, 0.2647783423520839, 0.7899129667587078, 0.3891773816597657, 0.7688079461007983, 1.14005790697431, 1.036543560671895]"
