,0,1,2,3,4,5,6,7,8,9,10,11
0,0.5,0.375,0.5625,0.5,0.4375,0.5625,0.5625,0.25,0.375,0.4375,0.5625,0.75
1,0.375,0.375,0.375,0.4375,0.375,0.4375,0.4375,0.8125,0.4375,0.5,0.625,0.5
2,0.375,0.3125,0.625,0.625,0.625,0.4375,0.625,0.5625,0.5,0.5,0.5625,0.75
3,0.5,0.4375,0.5,0.5,0.1875,0.625,0.625,0.8125,0.3125,0.625,0.6875,1.0
