,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
0,0.59375,0.53125,0.296875,0.34375,0.265625,0.40625,0.265625,0.375,0.40625,0.375,0.359375,0.421875,0.40625,0.359375,0.390625,0.5625,0.53125,0.390625,0.375,0.421875,0.3125,0.484375,0.421875,0.390625,0.390625,0.4375,0.359375,0.359375,0.375
1,0.5625,0.390625,0.265625,0.296875,0.359375,0.296875,0.390625,0.296875,0.5,0.484375,0.359375,0.390625,0.421875,0.5,0.34375,0.640625,0.40625,0.53125,0.265625,0.265625,0.34375,0.515625,0.28125,0.484375,0.390625,0.328125,0.375,0.328125,0.5
2,0.5625,0.375,0.390625,0.390625,0.375,0.28125,0.34375,0.390625,0.375,0.4375,0.453125,0.359375,0.46875,0.328125,0.40625,0.40625,0.359375,0.390625,0.296875,0.3125,0.5625,0.453125,0.5,0.46875,0.578125,0.40625,0.4375,0.25,0.5
