,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.75,0.25,0.25,0.3125,0.25,0.3125,0.3125,0.3125,0.3125,0.1875,0.25,0.375,0.25,0.0625,0.3125,0.5384615384615384
1,0.1875,0.25,0.25,0.1875,0.5,0.25,0.1875,0.25,0.1875,0.25,0.125,0.4375,0.1875,0.0625,0.375,0.3846153846153846
2,0.5,0.375,0.25,0.1875,0.3125,0.1875,0.125,0.25,0.3125,0.125,0.1875,0.0625,0.1875,0.125,0.1875,0.07692307692307687
3,0.1875,0.25,0.0625,0.1875,0.125,0.125,0.0625,0.1875,0.0625,0.0,0.0625,0.0,0.1875,0.0625,0.25,0.07692307692307687
4,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.125,0.0625,0.125,0.25,0.25,0.0,0.07692307692307687
