,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,0.625,0.375,0.75,0.5625,0.5625,0.3125,0.125,0.1875,0.125,0.125,0.25,0.125,0.3125,0.125,0.3125,0.6153846153846154
1,0.25,0.4375,0.3125,0.5,0.4375,0.3125,0.25,0.1875,0.0625,0.375,0.3125,0.1875,0.1875,0.125,0.25,0.07692307692307687
2,0.0625,0.25,0.0625,0.125,0.125,0.125,0.0625,0.0,0.0625,0.0625,0.0625,0.25,0.0625,0.0,0.125,0.07692307692307687
3,0.1875,0.0,0.0625,0.125,0.0625,0.0625,0.125,0.0,0.125,0.0625,0.125,0.0625,0.0,0.0625,0.0,0.07692307692307687
4,0.0625,0.0625,0.0625,0.0625,0.0625,0.25,0.0625,0.0,0.125,0.0625,0.0,0.0,0.0,0.125,0.125,0.07692307692307687
5,0.0625,0.0625,0.0,0.125,0.0,0.0,0.1875,0.125,0.125,0.0625,0.125,0.0,0.125,0.0,0.0,0.07692307692307687
6,0.0,0.0,0.1875,0.0,0.125,0.0,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.125,0.0625,0.0,0.07692307692307687
7,0.0625,0.0625,0.0625,0.0,0.1875,0.0,0.0,0.0625,0.0,0.0,0.0625,0.0,0.1875,0.0625,0.25,0.07692307692307687
8,0.125,0.0625,0.0625,0.0625,0.0625,0.0,0.125,0.0,0.0625,0.0625,0.0,0.0625,0.1875,0.0625,0.0625,0.07692307692307687
9,0.125,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.125,0.0625,0.125,0.125,0.0,0.0625,0.0625,0.0,0.0
10,0.0,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625,0.0,0.0625,0.0625,0.0625,0.125,0.125,0.0625,0.0
11,0.0625,0.0625,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.125,0.0625,0.0625,0.125,0.0625,0.0
12,0.0,0.0625,0.0,0.0,0.0625,0.1875,0.0,0.0,0.0,0.125,0.1875,0.1875,0.0,0.0625,0.0625,0.0
