,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
0,0.453125,0.140625,0.328125,0.140625,0.078125,0.171875,0.15625,0.21875,0.046875,0.09375,0.1875,0.140625,0.03125,0.140625,0.140625,0.078125,0.09375,0.109375,0.04166666666666663
1,0.140625,0.09375,0.015625,0.0625,0.0625,0.09375,0.046875,0.046875,0.09375,0.03125,0.09375,0.0,0.078125,0.0625,0.03125,0.078125,0.03125,0.078125,0.10416666666666663
2,0.078125,0.0625,0.03125,0.046875,0.046875,0.046875,0.0,0.046875,0.015625,0.03125,0.0,0.015625,0.015625,0.0625,0.015625,0.015625,0.0625,0.046875,0.02083333333333337
